Date,Open,High,Low,Close,Adj Close,Volume
2018-11-07,219.550003,223.710007,216.479996,217.990005,217.990005,127473032
2018-11-08,218.039993,219.649994,211.070007,211.289993,211.289993,64346780
2018-11-09,211.289993,213.539993,207.539993,209.389999,209.389999,47121564
2018-11-10,209.389999,214.610001,209.039993,211.899994,211.899994,29624413
2018-11-11,211.899994,212.559998,206.610001,211.699997,211.699997,35300337
2018-11-12,211.699997,213.210007,208.970001,210.809998,210.809998,41671998
2018-11-13,210.809998,210.929993,205.660004,206.419998,206.419998,58600617
2018-11-14,206.429993,208.149994,171.509995,182.720001,182.720001,318920969
2018-11-15,182.720001,185.669998,168.570007,181.529999,181.529999,206578170
2018-11-16,181.550003,182.479996,170.759995,174.839996,174.839996,126875658
2018-11-17,174.839996,175.800003,172.570007,174.220001,174.220001,42708847
2018-11-18,174.220001,181.270004,174.050003,177.529999,177.529999,67927574
2018-11-19,177.550003,177.580002,144.850006,148.220001,148.220001,300853051
2018-11-20,148.220001,152.220001,124.360001,130.740005,130.740005,427274827
2018-11-21,130.740005,139.419998,124.500000,136.500000,136.500000,228871551
2018-11-22,136.500000,138.520004,123.889999,124.830002,124.830002,107326677
2018-11-23,124.830002,127.139999,118.180000,123.370003,123.370003,174492308
2018-11-24,123.370003,128.350006,109.620003,112.750000,112.750000,135633645
2018-11-25,112.739998,120.550003,100.959999,116.750000,116.750000,253590457
2018-11-26,116.680000,119.220001,104.870003,108.870003,108.870003,181319493
2018-11-27,108.889999,113.239998,100.769997,110.190002,110.190002,142069855
2018-11-28,110.209999,126.709999,110.199997,122.879997,122.879997,181557557
2018-11-29,122.879997,123.970001,114.139999,117.480003,117.480003,118262111
2018-11-30,117.480003,120.029999,110.669998,112.870003,112.870003,112490314
2018-12-01,112.870003,121.330002,110.870003,118.500000,118.500000,76467768
2018-12-02,118.500000,121.080002,115.360001,115.959999,115.959999,44666977
2018-12-03,115.970001,116.269997,105.930000,108.230003,108.230003,86515164
2018-12-04,108.230003,113.599998,105.550003,109.820000,109.820000,68352727
2018-12-05,109.820000,110.349998,101.199997,101.570000,101.570000,87444053
